Name,Address,Type,Capacity,Contact Information,Website
The Tabernacle,"152 Luckie St NW, Atlanta, GA 30303",Concert Hall,2600,(404) 659-9022,https://www.tabernacleatl.com/
Fox Theatre,"660 Peachtree St NE, Atlanta, GA 30308",Theater,4678,(404) 881-2100,https://www.foxtheatre.org/
Atlanta History Center,"130 West Paces Ferry Rd NW, Atlanta, GA 30305",Event Venue,500,(404) 814-4000,https://www.atlantahistorycenter.com/
The Masquerade,"50 Lower Alabama St, Atlanta, GA 30303",Nightclub,1000,(404) 577-8178,https://www.masqueradeatlanta.com/
Piedmont Park,"1320 Monroe Dr NE, Atlanta, GA 30306",Outdoor Venue,10000,(404) 875-7275,https://www.piedmontpark.org/
State Farm Arena,"1 State Farm Dr, Atlanta, GA 30303",Arena,21000,(404) 878-3000,https://www.statefarmarena.com/
Coca-Cola Roxy,"800 Battery Ave SE #500, Atlanta, GA 30339",Concert Hall,3600,(404) 965-2511,https://www.cocacolaroxy.com/
Variety Playhouse,"1099 Euclid Ave NE, Atlanta, GA 30307",Theater,1100,(404) 524-7354,https://www.variety-playhouse.com/
The Loft,"1374 W Peachtree St NW, Atlanta, GA 30309",Music Venue,650,(404) 885-1365,https://www.centerstage-atlanta.com/
Center Stage,"1374 W Peachtree St NW, Atlanta, GA 30309",Concert Hall,1100,(404) 885-1365,https://www.centerstage-atlanta.com/
Buckhead Theatre,"3110 Roswell Rd NE, Atlanta, GA 30305",Theater,1500,(404) 843-2825,https://www.thebuckheadtheatre.com/
Terminal West,"887 W Marietta St NW, Atlanta, GA 30318",Music Venue,625,(404) 876-5566,https://www.terminalwestatl.com/
Chastain Park Amphitheatre,"4469 Stella Dr NW, Atlanta, GA 30327",Outdoor Venue,6900,(404) 233-2227,https://www.livenation.com/venue/KovZpZA7FdJA/chastain-park-amphitheatre-events
The Earl,"488 Flat Shoals Ave SE, Atlanta, GA 30316",Music Venue,300,(404) 522-3950,https://www.badearl.com/
404 Sports Bar,"1116 Crescent Ave NE, Atlanta, GA 30309",Sports Bar,200,(404) 875-7044,https://www.404sportsbar.com/
Atlantic Station,"1380 Atlantic Dr NW, Atlanta, GA 30363",Shopping Center,10000,(404) 733-1221,https://www.atlanticstation.com/
Skyline Park,"675 Ponce De Leon Ave NE, Atlanta, GA 30308",Rooftop Venue,300,(770) 999-1530,https://www.skylineparkatlanta.com/
City Winery,"650 North Ave NE #201, Atlanta, GA 30308",Winery & Venue,300,(404) 946-3791,https://www.citywinery.com/atlanta/
Rooftop L.O.A.,"1197 Peachtree St NE, Atlanta, GA 30361",Rooftop Venue,400,(470) 581-1212,https://www.rooftoploa.com/
Georgia World Congress Center,"285 Andrew Young International Blvd NW, Atlanta, GA 30313",Convention Center,100000,(404) 223-4000,https://www.gwcca.org/
Krog Street Market,"99 Krog St NE, Atlanta, GA 30307",Market,1000,(770) 434-2400,https://www.krogstreetmarket.com/
The BeltLine,"100 Peachtree St NW, Atlanta, GA 30303",Outdoor Venue,20000,(404) 477-3003,https://beltline.org/
Atlanta Symphony Hall,"1280 Peachtree St NE, Atlanta, GA 30309",Concert Hall,1750,(404) 733-4900,https://www.atlantasymphony.org/
Fernbank Museum,"767 Clifton Rd, Atlanta, GA 30307",Museum,500,(404) 929-6300,https://www.fernbankmuseum.org/
High Museum of Art,"1280 Peachtree St NE, Atlanta, GA 30309",Museum,2000,(404) 733-4444,https://www.high.org/
Cabbage Patch,"97 Estoria St SE, Atlanta, GA 30316",Music Venue,200,(404) 522-7227,https://www.cabbagepatchatlanta.com/
Starlight Drive-In,"2000 Moreland Ave SE, Atlanta, GA 30316",Drive-In Theater,500,(404) 627-5786,https://starlightdrivein.com/
Sweetwater Brewery,"195 Ottley Dr NE, Atlanta, GA 30324",Brewery,1000,(404) 691-2537,https://sweetwaterbrew.com/
